,PORTUGUÊS,ENGLISH,ESPAÑOL,FRANÇAIS
Tela Cheia Ativada,Tela Cheia Ativada,Full Screen Enabled,Pantalla Completa Activada,Plein Écran Activé
Tela Cheia Desativada,Tela Cheia Desativada,Full Screen Disabled,Pantalla Completa Desactivada,Plein Écran Désactivé
Mostrar FPS Ativado,Mostrar FPS Ativado,Show FPS Enabled,Mostrar FPS Activado,Afficher les FPS Activé
Mostrar FPS Desativado,Mostrar FPS Desativado,Show FPS Disabled,Mostrar FPS Activado,Afficher les FPS Désactivé
Filtro de Daltonismo Ativado,Filtro de Daltonismo Ativado,Color Blindness Filter Enabled,Filtro de Daltonismo Activado,Filtre de Daltonisme Activé
Filtro de Daltonismo Destivado,Filtro de Daltonismo Destivado,Color Blindness Filter Disabled,Filtro de Daltonismo Desactivado,Filtre de Daltonisme Désactivé
Legendas Ligadas,Legendas Ligadas,Subtitles Enabled,Subtítulos Activadas,Sous-titres Activé
Legendas Desligadas,Legendas Desligadas,Subtitles Disabled,Subtítulos Desactivadas,Sous-titres Désactivé
Leitor de Tela Ativado,Leitor de Tela Ativado,Screen Reader Enabled,Lector de Pantalla Activado,Lecteur d'écran Activé
Leitor de Tela Desativado,Leitor de Tela Desativado,Screen Reader Disabled,Lector de Pantalla Desactivado,Lecteur d'écran Désactivé
Alto Contraste Ligado,Alto Contraste Ligado,High Contrast Enabled,Alto Contraste Activado,Contraste Élevé Activé
Alto Contraste Desligado,Alto Contraste Desligado,High Contrast Disabled,Alto Contraste Desactivado,Contraste Élevé Désactivé
Pequeno,Pequeno,Small,Pequeño,Petit
Padrão,Padrão,Default,Estándar,Par Défaut
Grande,Grande,Large,Grande,Grand
Tamanho das Legendas: Pequeno,Tamanho das Legendas: Pequeno,Small Subtitles Size,Tamaño de los Subtítulos: Pequeño,Petite Taille des Sous-titres
Tamanho das Legendas: Padrão,Tamanho das Legendas: Padrão,Default Subtitles Size,Tamaño de los Subtítulos: Estándar,Taille Par Défaut des Sous-titres
Tamanho das Legendas: Grande,Tamanho das Legendas: Grande,Large Subtitles Size,Tamaño de los Subtítulos: Grande,Grands Taille des Sous-titres
Tamanho da Interface: Pequeno,Tamanho da Interface: Pequeno,Small Interface Size,Tamaño de la Interfaz: Pequeño,Petite Taille de l'interface
Tamanho da Interface: Padrão,Tamanho da Interface: Padrão,Default Interface Size,Tamaño de la Interfaz: Estándar,Taille Par Défaut de l'interface
Tamanho da Interface: Grande,Tamanho da Interface: Grande,Large Interface Size,Tamaño de la Interfaz: Grande,Grands Taille de l'interface
NOVO JOGO,NOVO JOGO,NEW GAME,NUEVO JUEGO,NOUVEAU JEU
OPÇÕES,OPÇÕES,OPTIONS,OPCIONES,OPTIONS
SAIR,SAIR,EXIT,SALIR,QUITTER
IDIOMA,IDIOMA,LANGUAGE,IDIOMA,LANGUE
PORTUGUÊS,PORTUGUÊS,PORTUGUESE,PORTUGUÉS,PORTUGAIS
INGLÊS,INGLÊS,ENGLISH,INGLÉS,ANGLAIS
ESPANHOL,ESPANHOL,SPANISH,ESPAÑOL,ESPAGNOL
FRANCÊS,FRANCÊS,FRENCH,FRANCÉS,FRANÇAIS
VOLUME,VOLUME,VOLUME,VOLUMEN,VOLUME
CONFIGURAÇÕES DE VOLUME,CONFIGURAÇÕES DE VOLUME,VOLUME SETTINGS,AJUSTES DE VOLUMEN,PARAMÈTRES DE VOLUME
MÚSICA,MÚSICA,MUSIC,MÚSICA,MUSIQUE
AMBIENTE,AMBIENTE,AMBIENT,AMBIENTE,AMBIANCE
CONTROLES,CONTROLES,CONTROLS,CONTROLES,COMMANDES
INTERFACE,INTERFACE,INTERFACE,INTERFAZ,INTERFACE
TELA CHEIA,TELA CHEIA,FULL SCREEN,PANTALLA COMPLETA,PLEIN ÉCRAN
MOSTRAR FPS,MOSTRAR FPS,SHOW FPS,MOSTRAR FPS,AFFICHER LES FPS
LIMITE DE FPS,LIMITE DE FPS,FRAME RATE LIMIT,LÍMITE DE FPS,LIMITE DE FPS
ACESSIBILIDADE,ACESSIBILIDADE,ACCESSIBILITY,ACCESIBILIDAD,ACCESSIBILITÉ
FILTRO DE DALTONISMO,FILTRO DE DALTONISMO,COLOR BLINDNESS FILTER,FILTRO DE DALTONISMO,FILTRE DE DALTONISME
DESLIGADO,DESLIGADO,DISABLED,DESACTIVADO,DÉSACTIVÉ
LIGADO,LIGADO,ENABLED,ACTIVADO,ACTIVÉ
INTENSIDADE,INTENSIDADE,INTENSITY,INTENSIDAD,INTENSITÉ
LEGENDAS,LEGENDAS,SUBTITLES,SUBTÍTULOS,SOUS-TITRES
TAMANHO,TAMANHO,SIZE,TAMAÑO,TAILLE
MINUTOS,MINUTOS,MINUTES,ACTAS,MINUTES
LEITOR DE TELA,LEITOR DE TELA,SCREEN READER,LECTOR DE PANTALLA,LECTEUR D'ÉCRAN
VELOCIDADE,VELOCIDADE,SPEED,VELOCIDAD,VITESSE
ALTO CONTRASTE,ALTO CONTRASTE,HIGH CONTRAST,ALTO CONTRASTE,CONTRASTE ÉLEVÉ
VOLTAR,VOLTAR,BACK,VOLVER,RETOUR
TAMANHO DA INTERFACE,TAMANHO DA INTERFACE,INTERFACE SIZE,TAMAÑO DE LA INTERFAZ,TAILLE DE L'INTERFACE
OPÇÕES DE VOLUME,OPÇÕES DE VOLUME,VOLUME SETTINGS,AJUSTES DE VOLUMEN,PARAMÈTRES DE VOLUME
OPÇÕES DE CONTROLES,OPÇÕES DE CONTROLES,CONTROL SETTINGS,AJUSTES DE CONTROLES,PARAMÈTRES DES COMMANDES
OPÇÕES DE INTERFACE,OPÇÕES DE INTERFACE,INTERFACE SETTINGS,AJUSTES DE INTERFAZ,PARAMÈTRES D'INTERFACE
OPÇÕES DE ACESSIBILIDADE,OPÇÕES DE ACESSIBILIDADE,ACCESSIBILITY SETTINGS,AJUSTES DE ACCESIBILIDAD,PARAMÈTRES D'ACCESSIBILITÉ
TELA CHEIA ATIVADA,TELA CHEIA ATIVADA,FULL SCREEN ENABLED,PANTALLA COMPLETA ACTIVADA,PLEIN ÉCRAN ACTIVÉ
TELA CHEIA DESATIVADA,TELA CHEIA DESATIVADA,FULL SCREEN DISABLED,PANTALLA COMPLETA DESACTIVADA,PLEIN ÉCRAN DÉSACTIVÉ
MOSTRAR FPS ATIVADO,MOSTRAR FPS ATIVADO,SHOW FPS ENABLED,MOSTRAR FPS ACTIVADO,AFFICHER LES FPS ACTIVÉ
MOSTRAR FPS DESATIVADO,MOSTRAR FPS DESATIVADO,SHOW FPS DISABLED,MOSTRAR FPS ACTIVADO,AFFICHER LES FPS DÉSACTIVÉ
FILTRO DE DALTONISMO ATIVADO,FILTRO DE DALTONISMO ATIVADO,COLOR BLINDNESS FILTER ENABLED,FILTRO DE DALTONISMO ACTIVADO,FILTRE DE DALTONISME ACTIVÉ
FILTRO DE DALTONISMO DESTIVADO,FILTRO DE DALTONISMO DESTIVADO,COLOR BLINDNESS FILTER DISABLED,FILTRO DE DALTONISMO DESACTIVADO,FILTRE DE DALTONISME DÉSACTIVÉ
LEGENDAS LIGADAS,LEGENDAS LIGADAS,SUBTITLES ENABLED,SUBTÍTULOS ACTIVADAS,SOUS-TITRES ACTIVÉ
LEGENDAS DESLIGADAS,LEGENDAS DESLIGADAS,SUBTITLES DISABLED,SUBTÍTULOS DESACTIVADAS,SOUS-TITRES DÉSACTIVÉ
LEITOR DE TELA ATIVADO,LEITOR DE TELA ATIVADO,SCREEN READER ENABLED,LECTOR DE PANTALLA ACTIVADO,LECTEUR D'ÉCRAN ACTIVÉ
LEITOR DE TELA DESATIVADO,LEITOR DE TELA DESATIVADO,SCREEN READER DISABLED,LECTOR DE PANTALLA DESACTIVADO,LECTEUR D'ÉCRAN DÉSACTIVÉ
ALTO CONTRASTE LIGADO,ALTO CONTRASTE LIGADO,HIGH CONTRAST ENABLED,ALTO CONTRASTE ACTIVADO,CONTRASTE ÉLEVÉ ACTIVÉ
ALTO CONTRASTE DESLIGADO,ALTO CONTRASTE DESLIGADO,HIGH CONTRAST DISABLED,ALTO CONTRASTE DESACTIVADO,CONTRASTE ÉLEVÉ DÉSACTIVÉ
PEQUENO,PEQUENO,SMALL,PEQUEÑO,PETIT
PADRÃO,PADRÃO,DEFAULT,ESTÁNDAR,PAR DÉFAUT
GRANDE,GRANDE,LARGE,GRANDE,GRAND
TAMANHO DAS LEGENDAS: PEQUENO,TAMANHO DAS LEGENDAS: PEQUENO,SMALL SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: PEQUEÑO,PETITE TAILLE DES SOUS-TITRES
TAMANHO DAS LEGENDAS: PADRÃO,TAMANHO DAS LEGENDAS: PADRÃO,DEFAULT SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: ESTÁNDAR,TAILLE PAR DÉFAUT DES SOUS-TITRES
TAMANHO DAS LEGENDAS: GRANDE,TAMANHO DAS LEGENDAS: GRANDE,LARGE SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: GRANDE,GRANDS TAILLE DES SOUS-TITRES
TAMANHO DA INTERFACE: PEQUENO,TAMANHO DA INTERFACE: PEQUENO,SMALL INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: PEQUEÑO,PETITE TAILLE DE L'INTERFACE
TAMANHO DA INTERFACE: PADRÃO,TAMANHO DA INTERFACE: PADRÃO,DEFAULT INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: ESTÁNDAR,TAILLE PAR DÉFAUT DE L'INTERFACE
TAMANHO DA INTERFACE: GRANDE,TAMANHO DA INTERFACE: GRANDE,LARGE INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: GRANDE,GRANDS TAILLE DE L'INTERFACE
Intensidade Filtro de Daltonismo,Intensidade Filtro de Daltonismo,Color Blindness Filter Intensity,Intensidad del filtro para daltonismo,Intensité du filtre pour le daltonisme
Velocidade de Fala do Leitor de Tela,Velocidade de Fala do Leitor de Tela,Screen Reader Speech Rate,Velocidad de habla del lector de pantalla,vitesse de lecture de l'écran
"Bem Vindo, o leitor de tela pode ser ativado","Bem Vindo, o leitor de tela pode ser ativado","Welcome, the screen reader can be activated.","Bienvenido, el lector de pantalla puede activarse.","Bienvenue, le lecteur d'écran peut être activé."
Bem Vindo,Bem Vindo,Welcome,Bienvenido,Accueillir
Tamanho da Interface,Tamanho da Interface,Interface Size,Tamaño de la interfaz,Taille de l’interface
Padrão,Padrão,Default,Predeterminado,Par défaut
Diminuida,Diminuída,Reduced,Reducida,Réduite
Aumentada,Aumentada,Increased,Aumentada,Agrandie
Continuar,,,,
"TUTORIAL_GO_SELECTION","IR À SELEÇÃO","GO TO SELECTION","IR A SELECCIÓN","ALLER AU CHOIX"
"TUTORIAL_RETURN_MENU","VOLTAR AO MENU","RETURN TO MENU","VOLVER AL MENÚ","RETOUR AU MENU"
"TUTORIAL_SKIP_TITLE","Pular tutorial?","Skip tutorial?","¿Omitir tutorial ?","Passer le tutoriel ?"
"TUTORIAL_SKIP_CONFIRMATION","Você pode rever o tutorial pelo menu principal. Deseja pular agora?","You can replay the tutorial from the main menu. Skip it now?","Puedes repetir el tutorial desde el menú principal. ¿Omitir ahora ?","Vous pourrez rejouer le tutoriel depuis le menu principal. Le passer maintenant ?"
"TUTORIAL_SKIP_CONFIRM","PULAR AGORA","SKIP NOW","OMITIR AHORA","PASSER MAINTENANT"
"TUTORIAL_CANCEL","CANCELAR","CANCEL","CANCELAR","ANNULER"
"TUTORIAL_MOUSE_LEFT","clique esquerdo","left click","clic izquierdo","clic gauche"
"TUTORIAL_PLAY_STEP_COUNTER","OBJETIVO {current}/{total}","OBJECTIVE {current}/{total}","OBJETIVO {current}/{total}","OBJECTIF {current}/{total}"
"TUTORIAL_PLAY_MOVE_TITLE","MOVIMENTE O PERSONAGEM","MOVE THE CHARACTER","MUEVE AL PERSONAJE","DÉPLACEZ LE PERSONNAGE"
"TUTORIAL_PLAY_MOVE_OBJECTIVE","Use {keys} e alcance a marca 1.","Use {keys} and reach marker 1.","Usa {keys} y llega a la marca 1.","Utilisez {keys} et rejoignez le repère 1."
"TUTORIAL_PLAY_MOVE_HINT","Siga o caminho iluminado. ESC pausa o treinamento.","Follow the lit path. ESC pauses training.","Sigue el camino iluminado. ESC pausa el entrenamiento.","Suivez le chemin éclairé. Échap met l'entraînement en pause."
"TUTORIAL_PLAY_RUN_TITLE","PRATIQUE A CORRIDA","PRACTICE RUNNING","PRACTICA CORRER","ENTRAÎNEZ-VOUS À COURIR"
"TUTORIAL_PLAY_RUN_OBJECTIVE","Segure {run} enquanto usa {keys} e atravesse a marca 2.","Hold {run} while using {keys} and cross marker 2.","Mantén {run} mientras usas {keys} y cruza la marca 2.","Maintenez {run} avec {keys} et traversez le repère 2."
"TUTORIAL_PLAY_RUN_HINT","A barra de energia mostra quanto tempo você ainda pode correr.","The energy bar shows how long you can keep running.","La barra de energía muestra cuánto tiempo puedes seguir corriendo.","La barre d'énergie indique combien de temps vous pouvez encore courir."
"TUTORIAL_PLAY_PUSH_TITLE","SEGURE E EMPURRE","HOLD AND PUSH","SUJETA Y EMPUJA","SAISISSEZ ET POUSSEZ"
"TUTORIAL_PLAY_PUSH_OBJECTIVE","Fique ao lado. Pressione {push} e empurre até o ALVO.","Stand beside it. Press {push} and push it to the TARGET.","Ponte al lado. Pulsa {push} y empuja hasta el OBJETIVO.","Placez-vous à côté. Appuyez sur {push} et poussez vers la CIBLE."
"TUTORIAL_PLAY_PUSH_HINT","A caixa se move somente na horizontal.","The crate only moves horizontally.","La caja solo se mueve en horizontal.","La caisse se déplace uniquement à l'horizontale."
"TUTORIAL_PLAY_PUSH_ACTIVE","Caixa segura. Empurre até o ALVO.","Crate held. Push it to the TARGET.","Caja sujeta. Empújala hasta el OBJETIVO.","Caisse saisie. Poussez-la vers la CIBLE."
"TUTORIAL_PLAY_PULL_TITLE","AGORA PUXE A CAIXA","NOW PULL THE CRATE","AHORA TIRA DE LA CAJA","TIREZ MAINTENANT LA CAISSE"
"TUTORIAL_PLAY_PULL_OBJECTIVE","Sem soltar recue na direção oposta.","Without releasing move in the opposite direction.","Sin soltar retrocede en la dirección opuesta.","Sans lâcher reculez dans la direction opposée."
"TUTORIAL_PLAY_PULL_HINT","O personagem recua e a caixa acompanha.","The character steps back and the crate follows.","El personaje retrocede y la caja lo sigue.","Le personnage recule et la caisse suit."
"TUTORIAL_PLAY_PULL_RELEASED_EARLY","Segure novamente com {push} e depois puxe.","Hold it again with {push} and then pull.","Sujétala de nuevo con {push} y luego tira.","Saisissez-la à nouveau avec {push} puis tirez."
"TUTORIAL_PLAY_RELEASE_TITLE","SOLTE A CAIXA","RELEASE THE CRATE","SUELTA LA CAJA","LÂCHEZ LA CAISSE"
"TUTORIAL_PLAY_RELEASE_OBJECTIVE","Pressione {push} novamente para soltar.","Press {push} again to release it.","Pulsa {push} de nuevo para soltarla.","Appuyez de nouveau sur {push} pour la lâcher."
"TUTORIAL_PLAY_RELEASE_HINT","O mesmo botão segura e solta a caixa.","The same button holds and releases the crate.","El mismo botón sujeta y suelta la caja.","Le même bouton saisit et lâche la caisse."
"TUTORIAL_PLAY_INTERACT_TITLE","ATIVE O TERMINAL","ACTIVATE THE TERMINAL","ACTIVA EL TERMINAL","ACTIVEZ LE TERMINAL"
"TUTORIAL_PLAY_INTERACT_OBJECTIVE","Aproxime-se do terminal azul e pressione {interact}.","Approach the blue terminal and press {interact}.","Acércate al terminal azul y pulsa {interact}.","Approchez-vous du terminal bleu et appuyez sur {interact}."
"TUTORIAL_PLAY_INTERACT_HINT","Procure o marcador brilhante ao lado do terminal.","Look for the bright marker beside the terminal.","Busca el marcador brillante junto al terminal.","Repérez la marque lumineuse près du terminal."
"TUTORIAL_PLAY_INTERACT_READY","Terminal ao alcance. Pressione {interact} agora.","Terminal in range. Press {interact} now.","Terminal al alcance. Pulsa {interact} ahora.","Terminal à portée. Appuyez sur {interact} maintenant."
"TUTORIAL_PLAY_EXIT_TITLE","SAIA DA SALA","LEAVE THE ROOM","SAL DE LA SALA","SORTEZ DE LA SALLE"
"TUTORIAL_PLAY_EXIT_OBJECTIVE","A porta está aberta. Entre na área verde SAÍDA.","The door is open. Enter the green EXIT area.","La puerta está abierta. Entra en el área verde SALIDA.","La porte est ouverte. Entrez dans la zone verte SORTIE."
"TUTORIAL_PLAY_EXIT_HINT","Depois você escolherá o personagem para a partida.","Next you will choose the character for the game.","Después elegirás el personaje para la partida.","Vous choisirez ensuite le personnage pour la partie."
"TUTORIAL_PLAY_SUCCESS","Objetivo concluído!","Objective complete!","¡Objetivo completado!","Objectif terminé !"
"TUTORIAL_PLAY_COMPLETE_SPEECH","Treinamento concluído. Você praticou movimento iluminação e combate a incêndio e já pode escolher seu personagem.","Training complete. You practiced movement lighting and firefighting and can now choose your character.","Entrenamiento completado. Practicaste movimiento iluminación y extinción de incendios y ya puedes elegir tu personaje.","Entraînement terminé. Vous avez pratiqué le déplacement l'éclairage et l'extinction d'un incendie et pouvez maintenant choisir votre personnage."
"TUTORIAL_PLAY_RESET_DONE","Etapa reiniciada.","Stage reset.","Etapa reiniciada.","Étape recommencée."
"TUTORIAL_PLAY_PAUSED","Tutorial pausado.","Tutorial paused.","Tutorial en pausa.","Tutoriel en pause."
"TUTORIAL_PLAY_RESUMED","Tutorial retomado.","Tutorial resumed.","Tutorial reanudado.","Tutoriel repris."
"TUTORIAL_PLAY_PAUSE_TITLE","TUTORIAL PAUSADO","TUTORIAL PAUSED","TUTORIAL EN PAUSA","TUTORIEL EN PAUSE"
"TUTORIAL_PLAY_PAUSE_DESCRIPTION","Continue quando estiver pronto.","Continue when you are ready.","Continúa cuando estés listo.","Continuez quand vous êtes prêt."
"TUTORIAL_PLAY_RESUME","CONTINUAR","CONTINUE","CONTINUAR","CONTINUER"
"TUTORIAL_PLAY_MAIN_MENU","MENU PRINCIPAL","MAIN MENU","MENÚ PRINCIPAL","MENU PRINCIPAL"
"TUTORIAL_PLAY_COMPLETE_TITLE","TREINAMENTO CONCLUÍDO","TRAINING COMPLETE","ENTRENAMIENTO COMPLETADO","ENTRAÎNEMENT TERMINÉ"
"TUTORIAL_PLAY_REPLAY","REPETIR","REPLAY","REPETIR","REJOUER"
"TUTORIAL_PLAY_LIGHT_TITLE","USE A LANTERNA","USE THE FLASHLIGHT","USA LA LINTERNA","UTILISEZ LA LAMPE"
"TUTORIAL_PLAY_LIGHT_OBJECTIVE","Equipe com {equip} e acenda com {toggle}.","Equip with {equip} and turn it on with {toggle}.","Equípala con {equip} y enciéndela con {toggle}.","Équipez-la avec {equip} puis allumez-la avec {toggle}."
"TUTORIAL_PLAY_LIGHT_HINT","A sala está escura. Use o feixe para explorar.","The room is dark. Use the beam to explore.","La sala está oscura. Usa el haz para explorar.","La salle est sombre. Utilisez le faisceau pour explorer."
"TUTORIAL_PLAY_LIGHT_EQUIPPED","Lanterna equipada. Pressione {toggle} para acender a luz.","Flashlight equipped. Press {toggle} to turn on the light.","Linterna equipada. Pulsa {toggle} para encender la luz.","Lampe équipée. Appuyez sur {toggle} pour l'allumer."
"TUTORIAL_PLAY_LIGHT_SEARCH_TITLE","ENCONTRE O EXTINTOR","FIND THE EXTINGUISHER","ENCUENTRA EL EXTINTOR","TROUVEZ L'EXTINCTEUR"
"TUTORIAL_PLAY_LIGHT_SEARCH_OBJECTIVE","Vasculhe a área escura usando o feixe.","Search the dark area using the beam.","Busca en el área oscura usando el haz.","Explorez la zone sombre avec le faisceau."
"TUTORIAL_PLAY_LIGHT_SEARCH_HINT","O feixe revela os objetos escondidos no caminho.","The beam reveals objects hidden along the way.","El haz revela los objetos ocultos en el camino.","Le faisceau révèle les objets cachés sur le chemin."
"TUTORIAL_PLAY_LIGHT_STORE_TITLE","GUARDE A LANTERNA","PUT AWAY THE FLASHLIGHT","GUARDA LA LINTERNA","RANGEZ LA LAMPE"
"TUTORIAL_PLAY_LIGHT_STORE_OBJECTIVE","Pressione {equip} para guardar. Depois use {interact} para coletar.","Press {equip} to put it away. Then use {interact} to collect.","Pulsa {equip} para guardarla. Después usa {interact} para recoger.","Appuyez sur {equip} pour la ranger. Puis utilisez {interact} pour ramasser."
"TUTORIAL_PLAY_LIGHT_STORE_HINT","Guarde o item equipado antes de pegar outro.","Put away the equipped item before picking up another.","Guarda el objeto equipado antes de recoger otro.","Rangez l'objet équipé avant d'en ramasser un autre."
"TUTORIAL_PLAY_LIGHT_COLLECT_TITLE","COLETE O EXTINTOR","COLLECT THE EXTINGUISHER","RECOGE EL EXTINTOR","RAMASSEZ L'EXTINCTEUR"
"TUTORIAL_PLAY_LIGHT_COLLECT_OBJECTIVE","Lanterna guardada. Pressione {interact} para coletar.","Flashlight put away. Press {interact} to collect.","Linterna guardada. Pulsa {interact} para recoger.","Lampe rangée. Appuyez sur {interact} pour ramasser."
"TUTORIAL_PLAY_LIGHT_COLLECT_HINT","O extintor será colocado no inventário.","The extinguisher will be placed in the inventory.","El extintor se guardará en el inventario.","L'extincteur sera placé dans l'inventaire."
"TUTORIAL_PLAY_DARK_ZONE","PROCURE AQUI","SEARCH HERE","BUSCA AQUÍ","CHERCHEZ ICI"
"TUTORIAL_PLAY_EXTINGUISHER_LABEL","Extintor","Extinguisher","Extintor","Extincteur"
"TUTORIAL_PLAY_FIRE_TITLE","APAGUE O FOGO","EXTINGUISH THE FIRE","APAGA EL FUEGO","ÉTEIGNEZ LE FEU"
"TUTORIAL_PLAY_FIRE_OBJECTIVE","Pressione {equip} para equipar o extintor. Mantenha {use} apontando para o fogo.","Press {equip} to equip the extinguisher. Hold {use} while aiming at the fire.","Pulsa {equip} para equipar el extintor. Mantén {use} apuntando al fuego.","Appuyez sur {equip} pour équiper l'extincteur. Maintenez {use} en visant le feu."
"TUTORIAL_PLAY_FIRE_HINT","Fique a uma distância segura e direcione o jato até apagar completamente.","Keep a safe distance and aim the spray until the fire is fully out.","Mantén una distancia segura y dirige el chorro hasta apagarlo por completo.","Restez à bonne distance et dirigez le jet jusqu'à l'extinction complète."
"TUTORIAL_PLAY_FIRE_ACTIVE","Jato ativo. Continue mirando no fogo.","Spray active. Keep aiming at the fire.","Chorro activo. Sigue apuntando al fuego.","Jet actif. Continuez à viser le feu."
"TUTORIAL_PLAY_FIRE_PROGRESS","Fogo restante: {remaining}%","Fire remaining: {remaining}%","Fuego restante: {remaining}%","Feu restant : {remaining} %"
"TUTORIAL_PLAY_FIRE_LABEL","FOGO","FIRE","FUEGO","FEU"
"TUTORIAL_PLAY_FUEL_EMPTY_TITLE","COMBUSTÍVEL ESGOTADO","FUEL DEPLETED","COMBUSTIBLE AGOTADO","RÉSERVOIR VIDE"
"TUTORIAL_PLAY_FUEL_EMPTY_OBJECTIVE","O extintor tem combustível limitado. Colete o novo com {interact}.","The extinguisher has limited fuel. Collect the new one with {interact}.","El extintor tiene combustible limitado. Recoge el nuevo con {interact}.","L'extincteur a un réservoir limité. Ramassez le nouveau avec {interact}."
"TUTORIAL_PLAY_FUEL_EMPTY_HINT","A barra indica quanto combustível ainda resta.","The bar shows how much fuel remains.","La barra indica cuánto combustible queda.","La barre indique la quantité restante."
"TUTORIAL_PLAY_FUEL_REPLACED","Novo extintor coletado. Continue apagando o fogo.","New extinguisher collected. Keep extinguishing the fire.","Nuevo extintor recogido. Sigue apagando el fuego.","Nouvel extincteur ramassé. Continuez à éteindre le feu."
