,PORTUGUÊS,ENGLISH,ESPAÑOL,FRANÇAIS
Tela Cheia Ativada,Tela Cheia Ativada,Full Screen Enabled,Pantalla Completa Activada,Plein Écran Activé
Tela Cheia Desativada,Tela Cheia Desativada,Full Screen Disabled,Pantalla Completa Desactivada,Plein Écran Désactivé
Mostrar FPS Ativado,Mostrar FPS Ativado,Show FPS Enabled,Mostrar FPS Activado,Afficher les FPS Activé
Mostrar FPS Desativado,Mostrar FPS Desativado,Show FPS Disabled,Mostrar FPS Activado,Afficher les FPS Désactivé
Filtro de Daltonismo Ativado,Filtro de Daltonismo Ativado,Color Blindness Filter Enabled,Filtro de Daltonismo Activado,Filtre de Daltonisme Activé
Filtro de Daltonismo Destivado,Filtro de Daltonismo Destivado,Color Blindness Filter Disabled,Filtro de Daltonismo Desactivado,Filtre de Daltonisme Désactivé
Legendas Ligadas,Legendas Ligadas,Subtitles Enabled,Subtítulos Activadas,Sous-titres Activé
Legendas Desligadas,Legendas Desligadas,Subtitles Disabled,Subtítulos Desactivadas,Sous-titres Désactivé
Leitor de Tela Ativado,Leitor de Tela Ativado,Screen Reader Enabled,Lector de Pantalla Activado,Lecteur d'écran Activé
Leitor de Tela Desativado,Leitor de Tela Desativado,Screen Reader Disabled,Lector de Pantalla Desactivado,Lecteur d'écran Désactivé
Alto Contraste Ligado,Alto Contraste Ligado,High Contrast Enabled,Alto Contraste Activado,Contraste Élevé Activé
Alto Contraste Desligado,Alto Contraste Desligado,High Contrast Disabled,Alto Contraste Desactivado,Contraste Élevé Désactivé
Pequeno,Pequeno,Small,Pequeño,Petit
Padrão,Padrão,Default,Estándar,Par Défaut
Grande,Grande,Large,Grande,Grand
Tamanho das Legendas: Pequeno,Tamanho das Legendas: Pequeno,Small Subtitles Size,Tamaño de los Subtítulos: Pequeño,Petite Taille des Sous-titres
Tamanho das Legendas: Padrão,Tamanho das Legendas: Padrão,Default Subtitles Size,Tamaño de los Subtítulos: Estándar,Taille Par Défaut des Sous-titres
Tamanho das Legendas: Grande,Tamanho das Legendas: Grande,Large Subtitles Size,Tamaño de los Subtítulos: Grande,Grands Taille des Sous-titres
Tamanho da Interface: Pequeno,Tamanho da Interface: Pequeno,Small Interface Size,Tamaño de la Interfaz: Pequeño,Petite Taille de l'interface
Tamanho da Interface: Padrão,Tamanho da Interface: Padrão,Default Interface Size,Tamaño de la Interfaz: Estándar,Taille Par Défaut de l'interface
Tamanho da Interface: Grande,Tamanho da Interface: Grande,Large Interface Size,Tamaño de la Interfaz: Grande,Grands Taille de l'interface
NOVO JOGO,NOVO JOGO,NEW GAME,NUEVO JUEGO,NOUVEAU JEU
OPÇÕES,OPÇÕES,OPTIONS,OPCIONES,OPTIONS
SAIR,SAIR,EXIT,SALIR,QUITTER
IDIOMA,IDIOMA,LANGUAGE,IDIOMA,LANGUE
PORTUGUÊS,PORTUGUÊS,PORTUGUESE,PORTUGUÉS,PORTUGAIS
INGLÊS,INGLÊS,ENGLISH,INGLÉS,ANGLAIS
ESPANHOL,ESPANHOL,SPANISH,ESPAÑOL,ESPAGNOL
FRANCÊS,FRANCÊS,FRENCH,FRANCÉS,FRANÇAIS
VOLUME,VOLUME,VOLUME,VOLUMEN,VOLUME
CONFIGURAÇÕES DE VOLUME,CONFIGURAÇÕES DE VOLUME,VOLUME SETTINGS,AJUSTES DE VOLUMEN,PARAMÈTRES DE VOLUME
MÚSICA,MÚSICA,MUSIC,MÚSICA,MUSIQUE
AMBIENTE,AMBIENTE,AMBIENT,AMBIENTE,AMBIANCE
CONTROLES,CONTROLES,CONTROLS,CONTROLES,COMMANDES
INTERFACE,INTERFACE,INTERFACE,INTERFAZ,INTERFACE
TELA CHEIA,TELA CHEIA,FULL SCREEN,PANTALLA COMPLETA,PLEIN ÉCRAN
MOSTRAR FPS,MOSTRAR FPS,SHOW FPS,MOSTRAR FPS,AFFICHER LES FPS
LIMITE DE FPS,LIMITE DE FPS,FRAME RATE LIMIT,LÍMITE DE FPS,LIMITE DE FPS
ACESSIBILIDADE,ACESSIBILIDADE,ACCESSIBILITY,ACCESIBILIDAD,ACCESSIBILITÉ
FILTRO DE DALTONISMO,FILTRO DE DALTONISMO,COLOR BLINDNESS FILTER,FILTRO DE DALTONISMO,FILTRE DE DALTONISME
DESLIGADO,DESLIGADO,DISABLED,DESACTIVADO,DÉSACTIVÉ
LIGADO,LIGADO,ENABLED,ACTIVADO,ACTIVÉ
INTENSIDADE,INTENSIDADE,INTENSITY,INTENSIDAD,INTENSITÉ
LEGENDAS,LEGENDAS,SUBTITLES,SUBTÍTULOS,SOUS-TITRES
TAMANHO,TAMANHO,SIZE,TAMAÑO,TAILLE
MINUTOS,MINUTOS,MINUTES,ACTAS,MINUTES
LEITOR DE TELA,LEITOR DE TELA,SCREEN READER,LECTOR DE PANTALLA,LECTEUR D'ÉCRAN
VELOCIDADE,VELOCIDADE,SPEED,VELOCIDAD,VITESSE
ALTO CONTRASTE,ALTO CONTRASTE,HIGH CONTRAST,ALTO CONTRASTE,CONTRASTE ÉLEVÉ
VOLTAR,VOLTAR,BACK,VOLVER,RETOUR
TAMANHO DA INTERFACE,TAMANHO DA INTERFACE,INTERFACE SIZE,TAMAÑO DE LA INTERFAZ,TAILLE DE L'INTERFACE
OPÇÕES DE VOLUME,OPÇÕES DE VOLUME,VOLUME SETTINGS,AJUSTES DE VOLUMEN,PARAMÈTRES DE VOLUME
OPÇÕES DE CONTROLES,OPÇÕES DE CONTROLES,CONTROL SETTINGS,AJUSTES DE CONTROLES,PARAMÈTRES DES COMMANDES
OPÇÕES DE INTERFACE,OPÇÕES DE INTERFACE,INTERFACE SETTINGS,AJUSTES DE INTERFAZ,PARAMÈTRES D'INTERFACE
OPÇÕES DE ACESSIBILIDADE,OPÇÕES DE ACESSIBILIDADE,ACCESSIBILITY SETTINGS,AJUSTES DE ACCESIBILIDAD,PARAMÈTRES D'ACCESSIBILITÉ
TELA CHEIA ATIVADA,TELA CHEIA ATIVADA,FULL SCREEN ENABLED,PANTALLA COMPLETA ACTIVADA,PLEIN ÉCRAN ACTIVÉ
TELA CHEIA DESATIVADA,TELA CHEIA DESATIVADA,FULL SCREEN DISABLED,PANTALLA COMPLETA DESACTIVADA,PLEIN ÉCRAN DÉSACTIVÉ
MOSTRAR FPS ATIVADO,MOSTRAR FPS ATIVADO,SHOW FPS ENABLED,MOSTRAR FPS ACTIVADO,AFFICHER LES FPS ACTIVÉ
MOSTRAR FPS DESATIVADO,MOSTRAR FPS DESATIVADO,SHOW FPS DISABLED,MOSTRAR FPS ACTIVADO,AFFICHER LES FPS DÉSACTIVÉ
FILTRO DE DALTONISMO ATIVADO,FILTRO DE DALTONISMO ATIVADO,COLOR BLINDNESS FILTER ENABLED,FILTRO DE DALTONISMO ACTIVADO,FILTRE DE DALTONISME ACTIVÉ
FILTRO DE DALTONISMO DESTIVADO,FILTRO DE DALTONISMO DESTIVADO,COLOR BLINDNESS FILTER DISABLED,FILTRO DE DALTONISMO DESACTIVADO,FILTRE DE DALTONISME DÉSACTIVÉ
LEGENDAS LIGADAS,LEGENDAS LIGADAS,SUBTITLES ENABLED,SUBTÍTULOS ACTIVADAS,SOUS-TITRES ACTIVÉ
LEGENDAS DESLIGADAS,LEGENDAS DESLIGADAS,SUBTITLES DISABLED,SUBTÍTULOS DESACTIVADAS,SOUS-TITRES DÉSACTIVÉ
LEITOR DE TELA ATIVADO,LEITOR DE TELA ATIVADO,SCREEN READER ENABLED,LECTOR DE PANTALLA ACTIVADO,LECTEUR D'ÉCRAN ACTIVÉ
LEITOR DE TELA DESATIVADO,LEITOR DE TELA DESATIVADO,SCREEN READER DISABLED,LECTOR DE PANTALLA DESACTIVADO,LECTEUR D'ÉCRAN DÉSACTIVÉ
ALTO CONTRASTE LIGADO,ALTO CONTRASTE LIGADO,HIGH CONTRAST ENABLED,ALTO CONTRASTE ACTIVADO,CONTRASTE ÉLEVÉ ACTIVÉ
ALTO CONTRASTE DESLIGADO,ALTO CONTRASTE DESLIGADO,HIGH CONTRAST DISABLED,ALTO CONTRASTE DESACTIVADO,CONTRASTE ÉLEVÉ DÉSACTIVÉ
PEQUENO,PEQUENO,SMALL,PEQUEÑO,PETIT
PADRÃO,PADRÃO,DEFAULT,ESTÁNDAR,PAR DÉFAUT
GRANDE,GRANDE,LARGE,GRANDE,GRAND
TAMANHO DAS LEGENDAS: PEQUENO,TAMANHO DAS LEGENDAS: PEQUENO,SMALL SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: PEQUEÑO,PETITE TAILLE DES SOUS-TITRES
TAMANHO DAS LEGENDAS: PADRÃO,TAMANHO DAS LEGENDAS: PADRÃO,DEFAULT SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: ESTÁNDAR,TAILLE PAR DÉFAUT DES SOUS-TITRES
TAMANHO DAS LEGENDAS: GRANDE,TAMANHO DAS LEGENDAS: GRANDE,LARGE SUBTITLES SIZE,TAMAÑO DE LOS SUBTÍTULOS: GRANDE,GRANDS TAILLE DES SOUS-TITRES
TAMANHO DA INTERFACE: PEQUENO,TAMANHO DA INTERFACE: PEQUENO,SMALL INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: PEQUEÑO,PETITE TAILLE DE L'INTERFACE
TAMANHO DA INTERFACE: PADRÃO,TAMANHO DA INTERFACE: PADRÃO,DEFAULT INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: ESTÁNDAR,TAILLE PAR DÉFAUT DE L'INTERFACE
TAMANHO DA INTERFACE: GRANDE,TAMANHO DA INTERFACE: GRANDE,LARGE INTERFACE SIZE,TAMAÑO DE LA INTERFAZ: GRANDE,GRANDS TAILLE DE L'INTERFACE
Intensidade Filtro de Daltonismo,Intensidade Filtro de Daltonismo,Color Blindness Filter Intensity,Intensidad del filtro para daltonismo,Intensité du filtre pour le daltonisme
Velocidade de Fala do Leitor de Tela,Velocidade de Fala do Leitor de Tela,Screen Reader Speech Rate,Velocidad de habla del lector de pantalla,vitesse de lecture de l'écran
"Bem Vindo, o leitor de tela pode ser ativado","Bem Vindo, o leitor de tela pode ser ativado","Welcome, the screen reader can be activated.","Bienvenido, el lector de pantalla puede activarse.","Bienvenue, le lecteur d'écran peut être activé."
Bem Vindo,Bem Vindo,Welcome,Bienvenido,Accueillir
Tamanho da Interface,Tamanho da Interface,Interface Size,Tamaño de la interfaz,Taille de l’interface
Padrão,Padrão,Default,Predeterminado,Par défaut
Diminuida,Diminuída,Reduced,Reducida,Réduite
Aumentada,Aumentada,Increased,Aumentada,Agrandie
TUTORIAL,TUTORIAL,TUTORIAL,TUTORIAL,TUTORIEL
TUTORIAL_STEP_COUNTER,Etapa {current} de {total},Step {current} of {total},Paso {current} de {total},Étape {current} sur {total}
TUTORIAL_WELCOME_TITLE,Treinamento básico,Basic training,Entrenamiento básico,Entraînement de base
TUTORIAL_WELCOME_INSTRUCTION,Este treino curto ensina os controles essenciais antes da escolha do personagem.,This short practice teaches the essential controls before character selection.,Esta práctica breve enseña los controles esenciales antes de elegir el personaje.,Cet entraînement court présente les commandes essentielles avant le choix du personnage.
TUTORIAL_WELCOME_TASK,Pratique no seu ritmo. Você pode ouvir novamente ou pular a qualquer momento.,Practice at your own pace. You can listen again or skip at any time.,Practica a tu ritmo. Puedes escuchar de nuevo u omitir en cualquier momento.,Entraînez-vous à votre rythme. Vous pouvez réécouter ou passer à tout moment.
TUTORIAL_NO_TIME_LIMIT,Sem limite de tempo e sem punição,No time limit and no penalty,Sin límite de tiempo ni penalización,Sans limite de temps et sans pénalité
TUTORIAL_START,COMEÇAR,START,EMPEZAR,COMMENCER
TUTORIAL_MOVE_TITLE,Movimentação,Movement,Movimiento,Déplacement
TUTORIAL_MOVE_INSTRUCTION,Use as quatro direções para mover o personagem pela área.,Use all four directions to move the character around the area.,Usa las cuatro direcciones para mover al personaje por el área.,Utilisez les quatre directions pour déplacer le personnage dans la zone.
TUTORIAL_MOVE_TASK,Pressione uma vez cada direção mostrada abaixo.,Press each direction shown below once.,Pulsa una vez cada dirección que aparece abajo.,Appuyez une fois sur chaque direction affichée ci-dessous.
TUTORIAL_RUN_TITLE,Correr,Run,Correr,Courir
TUTORIAL_RUN_INSTRUCTION,Correr ajuda a atravessar áreas rapidamente e consome estamina.,Running helps cross areas quickly and consumes stamina.,Correr ayuda a cruzar zonas rápidamente y consume resistencia.,Courir permet de traverser rapidement les zones et consomme de l'endurance.
TUTORIAL_RUN_TASK,Segure {key} junto com qualquer direção.,Hold {key} together with any direction.,Mantén {key} junto con cualquier dirección.,Maintenez {key} avec une direction.
TUTORIAL_ANY_DIRECTION,qualquer direção,any direction,cualquier dirección,une direction
TUTORIAL_INTERACT_TITLE,Interagir,Interact,Interactuar,Interagir
TUTORIAL_INTERACT_INSTRUCTION,Objetos próximos mostram pistas de interação. Leia a pista antes de agir.,Nearby objects show interaction prompts. Read the prompt before acting.,Los objetos cercanos muestran indicaciones de interacción. Lee la indicación antes de actuar.,Les objets proches affichent des indications d'interaction. Lisez l'indication avant d'agir.
TUTORIAL_INTERACT_TASK,Aproxime-se do terminal e pressione {key}.,Approach the terminal and press {key}.,Acércate al terminal y pulsa {key}.,Approchez-vous du terminal et appuyez sur {key}.
TUTORIAL_TERMINAL,TERMINAL,TERMINAL,TERMINAL,TERMINAL
TUTORIAL_ITEMS_TITLE,Itens e ferramentas,Items and tools,Objetos y herramientas,Objets et outils
TUTORIAL_ITEMS_INSTRUCTION,Os números selecionam ferramentas. A tecla de uso ou o clique ativa o item selecionado.,Number keys select tools. The use key or click activates the selected item.,Los números seleccionan herramientas. La tecla de uso o el clic activa el objeto seleccionado.,Les chiffres sélectionnent les outils. La touche d'utilisation ou le clic active l'objet sélectionné.
TUTORIAL_ITEMS_TASK,Selecione qualquer item e depois tente usá-lo.,Select any item and then try to use it.,Selecciona cualquier objeto e intenta usarlo.,Sélectionnez un objet puis essayez de l'utiliser.
TUTORIAL_ITEMS_PROGRESS,Selecionar: {selected}  •  Usar: {used},Select: {selected}  •  Use: {used},Seleccionar: {selected}  •  Usar: {used},Sélectionner : {selected}  •  Utiliser : {used}
TUTORIAL_PAUSE_TITLE,Pausa e lembretes,Pause and reminders,Pausa y recordatorios,Pause et rappels
TUTORIAL_PAUSE_INSTRUCTION,O menu de pausa interrompe o jogo e permite rever controles e opções.,The pause menu stops the game and lets you review controls and options.,El menú de pausa detiene el juego y permite revisar controles y opciones.,Le menu pause arrête le jeu et permet de revoir les commandes et options.
TUTORIAL_PAUSE_TASK,Pressione {key} para praticar a pausa.,Press {key} to practice pausing.,Pulsa {key} para practicar la pausa.,Appuyez sur {key} pour essayer la pause.
TUTORIAL_COMPLETE_TITLE,Treinamento concluído,Training complete,Entrenamiento completado,Entraînement terminé
TUTORIAL_COMPLETE_INSTRUCTION,Você praticou movimento corrida interação uso de itens e pausa.,You practiced movement running interaction item use and pausing.,Has practicado movimiento carrera interacción uso de objetos y pausa.,Vous avez pratiqué le déplacement la course l'interaction l'utilisation d'objets et la pause.
TUTORIAL_COMPLETE_TASK,Escolha seu personagem e sua dificuldade. O tutorial continua disponível no menu principal.,Choose your character and difficulty. The tutorial remains available from the main menu.,Elige tu personaje y dificultad. El tutorial sigue disponible en el menú principal.,Choisissez votre personnage et la difficulté. Le tutoriel reste disponible dans le menu principal.
TUTORIAL_COMPLETE_PROGRESS,Todos os fundamentos foram praticados.,All fundamentals were practiced.,Has practicado todos los fundamentos.,Toutes les bases ont été pratiquées.
TUTORIAL_FEEDBACK_SUCCESS,Ação concluída. Continue quando estiver pronto.,Action complete. Continue when you are ready.,Acción completada. Continúa cuando estés listo.,Action terminée. Continuez quand vous êtes prêt.
TUTORIAL_STEP_DONE,Etapa concluída.,Step complete.,Paso completado.,Étape terminée.
TUTORIAL_WAITING_ACTION,Aguardando você praticar a ação.,Waiting for you to practice the action.,Esperando que practiques la acción.,En attente de votre action.
TUTORIAL_FINISH_ACTION_FIRST,Pratique a ação indicada antes de continuar.,Practice the indicated action before continuing.,Practica la acción indicada antes de continuar.,Effectuez l'action indiquée avant de continuer.
TUTORIAL_UP,Cima,Up,Arriba,Haut
TUTORIAL_DOWN,Baixo,Down,Abajo,Bas
TUTORIAL_LEFT,Esquerda,Left,Izquierda,Gauche
TUTORIAL_RIGHT,Direita,Right,Derecha,Droite
TUTORIAL_DONE,concluído,done,completado,terminé
TUTORIAL_PENDING,pendente,pending,pendiente,en attente
TUTORIAL_BACK,VOLTAR,BACK,VOLVER,RETOUR
TUTORIAL_LISTEN,OUVIR INSTRUÇÃO,LISTEN,ESCUCHAR,ÉCOUTER
TUTORIAL_NEXT,PRÓXIMO,NEXT,SIGUIENTE,SUIVANT
TUTORIAL_SKIP,PULAR,SKIP,OMITIR,PASSER
TUTORIAL_GO_SELECTION,IR À SELEÇÃO,GO TO SELECTION,IR A SELECCIÓN,ALLER AU CHOIX
TUTORIAL_RETURN_MENU,VOLTAR AO MENU,RETURN TO MENU,VOLVER AL MENÚ,RETOUR AU MENU
TUTORIAL_FOOTER,Navegue com Tab ou setas e confirme com Enter,Navigate with Tab or arrows and confirm with Enter,Navega con Tab o flechas y confirma con Enter,Naviguez avec Tab ou les flèches et validez avec Entrée
TUTORIAL_SKIP_TITLE,Pular tutorial?,Skip tutorial?,¿Omitir tutorial ?,Passer le tutoriel ?
TUTORIAL_SKIP_CONFIRMATION,Você pode rever o tutorial pelo menu principal. Deseja pular agora?,You can replay the tutorial from the main menu. Skip it now?,Puedes repetir el tutorial desde el menú principal. ¿Omitir ahora ?,Vous pourrez rejouer le tutoriel depuis le menu principal. Le passer maintenant ?
TUTORIAL_SKIP_CONFIRM,PULAR AGORA,SKIP NOW,OMITIR AHORA,PASSER MAINTENANT
TUTORIAL_CANCEL,CANCELAR,CANCEL,CANCELAR,ANNULER
TUTORIAL_BACK_DESCRIPTION,Volta uma etapa ou retorna ao menu.,Moves back one step or returns to the menu.,Retrocede un paso o vuelve al menú.,Revient d'une étape ou retourne au menu.
TUTORIAL_LISTEN_DESCRIPTION,Lê novamente a instrução atual quando o leitor de tela está ativo.,Reads the current instruction again when screen reader is enabled.,Vuelve a leer la instrucción actual si el lector de pantalla está activo.,Relit l'instruction actuelle lorsque le lecteur d'écran est activé.
TUTORIAL_NEXT_DESCRIPTION,Avança para a próxima etapa.,Moves to the next step.,Avanza al siguiente paso.,Passe à l'étape suivante.
TUTORIAL_NEXT_DISABLED_DESCRIPTION,Indisponível até praticar a ação desta etapa.,Unavailable until this step action is practiced.,No disponible hasta practicar la acción de este paso.,Indisponible tant que l'action de cette étape n'est pas effectuée.
TUTORIAL_SKIP_DESCRIPTION,Abre uma confirmação para sair do tutorial.,Opens a confirmation to leave the tutorial.,Abre una confirmación para salir del tutorial.,Ouvre une confirmation pour quitter le tutoriel.
TUTORIAL_MOUSE_LEFT,clique esquerdo,left click,clic izquierdo,clic gauche
TUTORIAL_MOUSE_RIGHT,clique direito,right click,clic derecho,clic droit
TUTORIAL_MOUSE_BUTTON,botão do mouse {number},mouse button {number},botón del ratón {number},bouton de souris {number}
TUTORIAL_GAMEPAD_BUTTON,botão do controle {number},gamepad button {number},botón del mando {number},bouton de manette {number}
TUTORIAL_SELECTION_DESCRIPTION,Ative para selecionar esta opção.,Activate to select this option.,Activa para seleccionar esta opción.,Activez pour sélectionner cette option.
TUTORIAL_PLAY_STEP_COUNTER,OBJETIVO {current}/{total},OBJECTIVE {current}/{total},OBJETIVO {current}/{total},OBJECTIF {current}/{total}
TUTORIAL_PLAY_MOVE_TITLE,MOVIMENTE O PERSONAGEM,MOVE THE CHARACTER,MUEVE AL PERSONAJE,DÉPLACEZ LE PERSONNAGE
TUTORIAL_PLAY_MOVE_OBJECTIVE,Use {keys} e alcance a marca 1.,Use {keys} and reach marker 1.,Usa {keys} y llega a la marca 1.,Utilisez {keys} et rejoignez le repère 1.
TUTORIAL_PLAY_MOVE_HINT,Siga o caminho iluminado. ESC pausa o treinamento.,Follow the lit path. ESC pauses training.,Sigue el camino iluminado. ESC pausa el entrenamiento.,Suivez le chemin éclairé. Échap met l'entraînement en pause.
TUTORIAL_PLAY_RUN_TITLE,PRATIQUE A CORRIDA,PRACTICE RUNNING,PRACTICA CORRER,ENTRAÎNEZ-VOUS À COURIR
TUTORIAL_PLAY_RUN_OBJECTIVE,Segure {run} enquanto usa {keys} e atravesse a marca 2.,Hold {run} while using {keys} and cross marker 2.,Mantén {run} mientras usas {keys} y cruza la marca 2.,Maintenez {run} avec {keys} et traversez le repère 2.
TUTORIAL_PLAY_RUN_HINT,A barra de energia mostra quanto tempo você ainda pode correr.,The energy bar shows how long you can keep running.,La barra de energía muestra cuánto tiempo puedes seguir corriendo.,La barre d'énergie indique combien de temps vous pouvez encore courir.
TUTORIAL_PLAY_PUSH_TITLE,SEGURE E EMPURRE,HOLD AND PUSH,SUJETA Y EMPUJA,SAISISSEZ ET POUSSEZ
TUTORIAL_PLAY_PUSH_OBJECTIVE,Fique ao lado. Pressione {push} e empurre até o ALVO.,Stand beside it. Press {push} and push it to the TARGET.,Ponte al lado. Pulsa {push} y empuja hasta el OBJETIVO.,Placez-vous à côté. Appuyez sur {push} et poussez vers la CIBLE.
TUTORIAL_PLAY_PUSH_HINT,A caixa se move somente na horizontal.,The crate only moves horizontally.,La caja solo se mueve en horizontal.,La caisse se déplace uniquement à l'horizontale.
TUTORIAL_PLAY_PUSH_ACTIVE,Caixa segura. Empurre até o ALVO.,Crate held. Push it to the TARGET.,Caja sujeta. Empújala hasta el OBJETIVO.,Caisse saisie. Poussez-la vers la CIBLE.
TUTORIAL_PLAY_PULL_TITLE,AGORA PUXE A CAIXA,NOW PULL THE CRATE,AHORA TIRA DE LA CAJA,TIREZ MAINTENANT LA CAISSE
TUTORIAL_PLAY_PULL_OBJECTIVE,Sem soltar recue na direção oposta.,Without releasing move in the opposite direction.,Sin soltar retrocede en la dirección opuesta.,Sans lâcher reculez dans la direction opposée.
TUTORIAL_PLAY_PULL_HINT,O personagem recua e a caixa acompanha.,The character steps back and the crate follows.,El personaje retrocede y la caja lo sigue.,Le personnage recule et la caisse suit.
TUTORIAL_PLAY_PULL_RELEASED_EARLY,Segure novamente com {push} e depois puxe.,Hold it again with {push} and then pull.,Sujétala de nuevo con {push} y luego tira.,Saisissez-la à nouveau avec {push} puis tirez.
TUTORIAL_PLAY_RELEASE_TITLE,SOLTE A CAIXA,RELEASE THE CRATE,SUELTA LA CAJA,LÂCHEZ LA CAISSE
TUTORIAL_PLAY_RELEASE_OBJECTIVE,Pressione {push} novamente para soltar.,Press {push} again to release it.,Pulsa {push} de nuevo para soltarla.,Appuyez de nouveau sur {push} pour la lâcher.
TUTORIAL_PLAY_RELEASE_HINT,O mesmo botão segura e solta a caixa.,The same button holds and releases the crate.,El mismo botón sujeta y suelta la caja.,Le même bouton saisit et lâche la caisse.
TUTORIAL_PLAY_INTERACT_TITLE,ATIVE O TERMINAL,ACTIVATE THE TERMINAL,ACTIVA EL TERMINAL,ACTIVEZ LE TERMINAL
TUTORIAL_PLAY_INTERACT_OBJECTIVE,Aproxime-se do terminal azul e pressione {interact}.,Approach the blue terminal and press {interact}.,Acércate al terminal azul y pulsa {interact}.,Approchez-vous du terminal bleu et appuyez sur {interact}.
TUTORIAL_PLAY_INTERACT_HINT,Procure o marcador brilhante ao lado do terminal.,Look for the bright marker beside the terminal.,Busca el marcador brillante junto al terminal.,Repérez la marque lumineuse près du terminal.
TUTORIAL_PLAY_INTERACT_READY,Terminal ao alcance. Pressione {interact} agora.,Terminal in range. Press {interact} now.,Terminal al alcance. Pulsa {interact} ahora.,Terminal à portée. Appuyez sur {interact} maintenant.
TUTORIAL_PLAY_EXIT_TITLE,SAIA DA SALA,LEAVE THE ROOM,SAL DE LA SALA,SORTEZ DE LA SALLE
TUTORIAL_PLAY_EXIT_OBJECTIVE,A porta está aberta. Entre na área verde SAÍDA.,The door is open. Enter the green EXIT area.,La puerta está abierta. Entra en el área verde SALIDA.,La porte est ouverte. Entrez dans la zone verte SORTIE.
TUTORIAL_PLAY_EXIT_HINT,Depois você escolherá o personagem para a partida.,Next you will choose the character for the game.,Después elegirás el personaje para la partida.,Vous choisirez ensuite le personnage pour la partie.
TUTORIAL_PLAY_SUCCESS,Objetivo concluído!,Objective complete!,¡Objetivo completado!,Objectif terminé !
TUTORIAL_PLAY_COMPLETE_SPEECH,Treinamento concluído. Você praticou movimento iluminação e combate a incêndio e já pode escolher seu personagem.,Training complete. You practiced movement lighting and firefighting and can now choose your character.,Entrenamiento completado. Practicaste movimiento iluminación y extinción de incendios y ya puedes elegir tu personaje.,Entraînement terminé. Vous avez pratiqué le déplacement l'éclairage et l'extinction d'un incendie et pouvez maintenant choisir votre personnage.
TUTORIAL_PLAY_RESET_DONE,Etapa reiniciada.,Stage reset.,Etapa reiniciada.,Étape recommencée.
TUTORIAL_PLAY_PAUSED,Tutorial pausado.,Tutorial paused.,Tutorial en pausa.,Tutoriel en pause.
TUTORIAL_PLAY_RESUMED,Tutorial retomado.,Tutorial resumed.,Tutorial reanudado.,Tutoriel repris.
TUTORIAL_PLAY_LISTEN,OUVIR,LISTEN,ESCUCHAR,ÉCOUTER
TUTORIAL_PLAY_RESET,REINICIAR,RESET,REINICIAR,RECOMMENCER
TUTORIAL_PLAY_PAUSE_TITLE,TUTORIAL PAUSADO,TUTORIAL PAUSED,TUTORIAL EN PAUSA,TUTORIEL EN PAUSE
